datetime,pct,precip,precipcover,preciptype,snow,snowdepth
2016-01-01,0.6877917681469323,0.0,0.0,,0.0,0.1
2016-01-02,0.7394381043201196,0.0,0.0,,0.0,0.0
2016-01-03,0.7405015914056796,0.0,0.0,,0.0,0.0
2016-01-04,0.7309120962175111,0.0,0.0,,0.0,0.0
2016-01-05,0.7216871659948093,0.0,0.0,,0.0,0.1
2016-01-06,0.7175970688765048,0.0,0.0,,0.0,0.2
2016-01-07,0.7595948150685927,0.0,0.0,,0.0,0.2
2016-01-08,0.7600807769608271,0.0,0.0,,0.0,0.1
2016-01-09,0.7650994208688424,0.011,4.17,rain,0.0,0.1
2016-01-10,0.7118103384906468,1.381,54.17,rain,0.0,0.0
2016-01-11,0.7417935977790762,0.0,0.0,,0.0,0.0
2016-01-12,0.7357240480411237,0.083,8.33,"rain,snow",0.3,0.1
2016-01-13,0.7202659471437121,0.0,0.0,"rain,snow",0.2,0.3
2016-01-14,0.6992315528789628,0.0,0.0,,0.0,0.4
2016-01-15,0.7906006242177951,0.0,0.0,,0.0,0.3
2016-01-16,0.7911137382326526,1.21,50.0,"rain,snow",0.0,0.5
2016-01-17,0.7744683399247269,0.077,12.5,"rain,snow",0.6,0.4
2016-01-18,0.7415283658975018,0.112,20.83,"rain,snow",0.8,1.1
2016-01-19,0.6819619610671991,0.0,0.0,,0.0,0.7
2016-01-20,0.6819288744617206,0.0,0.0,,0.0,0.6
2016-01-21,0.7319928936385447,0.0,0.0,,0.0,0.4
2016-01-22,0.6981317222041843,0.0,0.0,,0.0,0.4
2016-01-23,0.7298459857856135,0.339,29.17,"rain,snow",0.8,0.6
2016-01-24,0.7183287443383604,0.0,0.0,snow,0.9,1.8
2016-01-25,0.6600706608891567,0.0,0.0,,0.0,1.7
2016-01-26,0.6676462613791136,0.0,0.0,,0.0,1.5
2016-01-27,0.7432727718565791,0.0,0.0,,0.0,1.0
2016-01-28,0.7598277085304326,0.0,0.0,,0.0,0.6
2016-01-29,0.737489355905441,0.0,0.0,,0.0,0.6
2016-01-30,0.7539257735983592,0.0,0.0,,0.0,0.6
2016-01-31,0.7646365842042915,0.0,0.0,,0.0,0.6
2016-02-01,0.7142534818287589,0.0,0.0,,0.0,0.3
2016-02-02,0.7009088592023736,0.0,0.0,,0.0,0.0
2016-02-03,0.6717724208422217,0.374,29.17,rain,0.0,0.0
2016-02-05,0.6648332253422768,0.991,75.0,"rain,snow",1.8,1.1
2016-02-06,0.7077270037578155,0.0,0.0,snow,0.9,2.4
2016-02-07,0.7173488566415902,0.0,0.0,,0.0,1.8
2016-02-08,0.7348272338167638,0.294,50.0,snow,1.3,2.1
2016-02-09,0.7180344071335929,0.011,4.17,snow,0.6,3.0
2016-02-10,0.6387864301951838,0.0,0.0,"rain,snow",0.0,2.7
2016-02-11,0.6603822385281892,0.005,4.17,snow,0.0,2.3
2016-02-12,0.7027282290291843,0.0,0.0,,0.0,2.2
2016-02-13,0.6946041243408922,0.0,0.0,,0.0,1.9
2016-02-14,0.6430123081675049,0.0,0.0,,0.0,1.9
2016-02-15,0.7498347919379815,0.229,16.67,"rain,snow",0.0,1.8
2016-02-16,0.6826826813986161,0.673,58.33,"rain,snow",0.5,1.4
2016-02-17,0.6704099047465305,0.0,0.0,,0.0,0.4
2016-02-18,0.771572494633366,0.0,0.0,,0.0,0.2
2016-02-19,0.7395688919873696,0.0,0.0,,0.0,0.1
2016-02-20,0.7205225107688326,0.011,4.17,rain,0.2,0.1
2016-02-21,0.7153086294673388,0.0,0.0,,0.0,0.0
2016-02-22,0.7238547116680847,0.0,0.0,,0.0,0.0
2016-02-23,0.6866611508839295,0.0,0.0,,0.0,0.0
2016-02-24,0.7034369911796877,0.56,79.17,rain,0.3,0.1
2016-02-25,0.7243434016942226,0.802,45.83,rain,0.0,0.0
2016-02-26,0.7340961322377353,0.0,0.0,,0.0,0.0
2016-02-27,0.7579594006173723,0.0,0.0,,0.0,0.0
2016-02-28,0.7259895537523866,0.0,0.0,,0.0,0.0
2016-02-29,0.7842823202179768,0.0,0.0,,0.0,0.0
2016-03-01,0.7738760386804369,0.0,0.0,,0.0,0.0
2016-03-02,0.803009991297956,0.378,37.5,rain,0.0,0.0
2016-03-03,0.73939707291318,0.0,0.0,,0.0,0.0
2016-03-04,0.6752662588231602,0.011,4.17,"rain,snow",0.2,0.1
2016-03-05,0.744414836325148,0.0,0.0,snow,0.1,0.1
2016-03-06,0.7723030498640918,0.0,0.0,,0.0,0.1
2016-03-07,0.7261966809592367,0.0,0.0,,0.0,0.0
2016-03-08,0.7412337532678273,0.0,0.0,,0.0,0.0
2016-03-09,0.5408957807712289,0.0,0.0,,0.0,0.0
2016-03-10,0.6778364423290437,0.379,45.83,rain,0.0,0.0
2016-03-11,0.7304545509736574,0.095,25.0,rain,0.0,0.0
2016-03-12,0.6946237795173236,0.0,0.0,,0.0,0.0
2016-03-13,0.7578881310319228,0.0,0.0,,0.0,0.0
2016-03-14,0.6820112438063469,0.171,25.0,rain,0.0,0.0
2016-03-15,0.6584337168546994,1.162,83.33,rain,0.0,0.0
2016-03-16,0.5930810386599779,0.038,8.33,rain,0.0,0.0
2016-03-17,0.6276488586309139,0.081,16.67,rain,0.0,0.0
2016-03-18,0.6359170008720114,0.029,8.33,rain,0.0,0.0
2016-03-19,0.675246805330492,0.0,0.0,,0.0,0.0
2016-03-20,0.7441364513122819,0.0,0.0,"rain,snow",0.6,0.2
2016-03-21,0.7275896096172547,0.248,45.83,"rain,snow",2.0,0.8
2016-03-22,0.771966895169778,0.0,0.0,,0.0,0.3
2016-03-23,0.7455736085443918,0.002,8.33,rain,0.0,0.2
2016-03-24,0.7810611821164475,0.0,0.0,,0.0,0.0
2016-03-25,0.6889762242435824,0.158,29.17,rain,0.0,0.0
2016-03-26,0.8019834868105816,0.0,0.0,,0.0,0.0
2016-03-27,0.7693143088538698,0.0,0.0,,0.0,0.0
2016-03-28,0.7243953165559534,0.419,41.67,rain,0.0,0.0
2016-03-29,0.7295170482140897,0.0,0.0,,0.0,0.0
2016-03-30,0.7078626797605859,0.0,0.0,,0.0,0.0
2016-03-31,0.7346007436618456,0.0,0.0,,0.0,0.0
2016-04-01,0.7791935464165358,0.047,8.33,rain,0.0,0.0
2016-04-02,0.7912412163684566,0.319,33.33,rain,0.0,0.1
2016-04-03,0.746919724962529,0.483,25.0,"rain,snow",0.4,0.5
2016-04-04,0.7690723144549072,0.398,50.0,"rain,snow",0.8,0.3
2016-04-05,0.7783485488637256,0.0,0.0,snow,0.5,1.1
2016-04-06,0.7799965615439889,0.0,0.0,,0.0,0.8
2016-04-07,0.7394510668891039,1.009,50.0,rain,0.0,0.3
2016-04-08,0.7489166926138828,0.0,0.0,,0.0,0.0
2016-04-09,0.8334488840299229,0.0,0.0,,0.0,0.0
2016-04-10,0.8028282326025424,0.0,0.0,,0.0,0.0
2016-04-11,0.7846791476791326,0.011,4.17,rain,0.0,0.0
2016-04-12,0.7687809664823932,0.19,16.67,rain,0.0,0.0
2016-04-13,0.7464025321109773,0.0,0.0,,0.0,0.0
2016-04-14,0.7924027832294284,0.0,0.0,,0.0,0.0
2016-04-15,0.762465805467572,0.0,0.0,,0.0,0.0
2016-04-16,0.7999944401859242,0.0,0.0,,0.0,0.0
2016-04-17,0.7601995319012328,0.0,0.0,,0.0,0.0
2016-04-18,0.7530609679164354,0.0,0.0,,0.0,0.0
2016-04-19,0.8080589078008624,0.019,8.33,rain,0.0,0.0
2016-04-20,0.758465620631223,0.0,0.0,,0.0,0.0
2016-04-21,0.7976428833682658,0.0,0.0,,0.0,0.0
2016-04-22,0.7781830161629428,0.0,0.0,,0.0,0.0
2016-04-23,0.8018223174024661,0.095,41.67,rain,0.0,0.0
2016-04-24,0.7987878530563722,0.0,0.0,,0.0,0.0
2016-04-25,0.7602356371674615,0.0,0.0,,0.0,0.0
2016-04-26,0.7614605211863279,0.254,12.5,rain,0.0,0.0
2016-04-27,0.7319365366789102,0.0,0.0,,0.0,0.0
2016-04-28,0.8071495419107142,0.0,0.0,,0.0,0.0
2016-04-29,0.8041238766254213,0.0,0.0,,0.0,0.0
2016-04-30,0.7602925812324359,0.0,0.0,,0.0,0.0
2016-05-01,0.7742920089292228,0.095,16.67,rain,0.0,0.0
2016-05-02,0.7699048069202452,0.376,29.17,rain,0.0,0.0
2016-05-03,0.7867660115068573,0.105,33.33,rain,0.0,0.0
