datetime,precip,precipcover,preciptype,snow,snowdepth
2016-01-01,0.0,0.0,,0.0,0.1
2016-01-02,0.0,0.0,,0.0,0.0
2016-01-03,0.0,0.0,,0.0,0.0
2016-01-04,0.0,0.0,,0.0,0.0
2016-01-05,0.0,0.0,,0.0,0.1
2016-01-06,0.0,0.0,,0.0,0.2
2016-01-07,0.0,0.0,,0.0,0.2
2016-01-08,0.0,0.0,,0.0,0.1
2016-01-09,0.011,4.17,rain,0.0,0.1
2016-01-10,1.381,54.17,rain,0.0,0.0
2016-01-11,0.0,0.0,,0.0,0.0
2016-01-12,0.083,8.33,"rain,snow",0.3,0.1
2016-01-13,0.0,0.0,"rain,snow",0.2,0.3
2016-01-14,0.0,0.0,,0.0,0.4
2016-01-15,0.0,0.0,,0.0,0.3
2016-01-16,1.21,50.0,"rain,snow",0.0,0.5
2016-01-17,0.077,12.5,"rain,snow",0.6,0.4
2016-01-18,0.112,20.83,"rain,snow",0.8,1.1
2016-01-19,0.0,0.0,,0.0,0.7
2016-01-20,0.0,0.0,,0.0,0.6
2016-01-21,0.0,0.0,,0.0,0.4
2016-01-22,0.0,0.0,,0.0,0.4
2016-01-23,0.339,29.17,"rain,snow",0.8,0.6
2016-01-24,0.0,0.0,snow,0.9,1.8
2016-01-25,0.0,0.0,,0.0,1.7
2016-01-26,0.0,0.0,,0.0,1.5
2016-01-27,0.0,0.0,,0.0,1.0
2016-01-28,0.0,0.0,,0.0,0.6
2016-01-29,0.0,0.0,,0.0,0.6
2016-01-30,0.0,0.0,,0.0,0.6
2016-01-31,0.0,0.0,,0.0,0.6
2016-02-01,0.0,0.0,,0.0,0.3
2016-02-02,0.0,0.0,,0.0,0.0
2016-02-03,0.374,29.17,rain,0.0,0.0
2016-02-04,0.001,4.17,rain,0.0,0.1
2016-02-05,0.991,75.0,"rain,snow",1.8,1.1
2016-02-06,0.0,0.0,snow,0.9,2.4
2016-02-07,0.0,0.0,,0.0,1.8
2016-02-08,0.294,50.0,snow,1.3,2.1
2016-02-09,0.011,4.17,snow,0.6,3.0
2016-02-10,0.0,0.0,"rain,snow",0.0,2.7
2016-02-11,0.005,4.17,snow,0.0,2.3
2016-02-12,0.0,0.0,,0.0,2.2
2016-02-13,0.0,0.0,,0.0,1.9
2016-02-14,0.0,0.0,,0.0,1.9
2016-02-15,0.229,16.67,"rain,snow",0.0,1.8
2016-02-16,0.673,58.33,"rain,snow",0.5,1.4
2016-02-17,0.0,0.0,,0.0,0.4
2016-02-18,0.0,0.0,,0.0,0.2
2016-02-19,0.0,0.0,,0.0,0.1
2016-02-20,0.011,4.17,rain,0.2,0.1
2016-02-21,0.0,0.0,,0.0,0.0
2016-02-22,0.0,0.0,,0.0,0.0
2016-02-23,0.0,0.0,,0.0,0.0
2016-02-24,0.56,79.17,rain,0.3,0.1
2016-02-25,0.802,45.83,rain,0.0,0.0
2016-02-26,0.0,0.0,,0.0,0.0
2016-02-27,0.0,0.0,,0.0,0.0
2016-02-28,0.0,0.0,,0.0,0.0
2016-02-29,0.0,0.0,,0.0,0.0
2016-03-01,0.0,0.0,,0.0,0.0
2016-03-02,0.378,37.5,rain,0.0,0.0
2016-03-03,0.0,0.0,,0.0,0.0
2016-03-04,0.011,4.17,"rain,snow",0.2,0.1
2016-03-05,0.0,0.0,snow,0.1,0.1
2016-03-06,0.0,0.0,,0.0,0.1
