datetime,pct,precip,precipcover,preciptype,snow,snowdepth,date,total_alerts,delays_alerts,no_service_alerts,reduced_service_alerts,detour_alerts,stop_moved_alerts,construction_alerts,maintenance_alerts,technical_problem_alerts,weather_alerts,accident_alerts,police_activity_alerts,max_severity,avg_severity,high_severity_alerts,total_alert_duration_minutes,avg_alert_duration_minutes,max_alert_duration_minutes,bu_area_alerts,morning_rush_alerts,afternoon_rush_alerts,class_end_time_alerts,morning_rush_delays,afternoon_rush_delays
2016-01-01,0.6877917681469323,0.0,0.0,,0.0,0.1,2016-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2016-01-02,0.7394381043201196,0.0,0.0,,0.0,0.0,2016-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2016-01-03,0.7405015914056796,0.0,0.0,,0.0,0.0,2016-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2016-01-04,0.7309120962175111,0.0,0.0,,0.0,0.0,2016-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2016-01-05,0.7216871659948093,0.0,0.0,,0.0,0.1,2016-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2016-01-06,0.7175970688765048,0.0,0.0,,0.0,0.2,2016-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2016-01-07,0.7595948150685927,0.0,0.0,,0.0,0.2,2016-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2016-01-08,0.7600807769608271,0.0,0.0,,0.0,0.1,2016-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2016-01-09,0.7650994208688424,0.011,4.17,rain,0.0,0.1,2016-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2016-01-10,0.7118103384906468,1.381,54.17,rain,0.0,0.0,2016-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
